,Comment
148,T1 고생했고 오늘 페이커가 너무 못하긴했어 전성기 이후로 경험과 클러치 능력으로 커버쳤었는데 문제는 이게 강팀들한테는 잘 안통한다는거지 라인전 체급좀 올려야겠더라 쵸비는 체급이 넘사라 쵸비이길 미드는 없다 치더라도 다른 미드들 상대로는 주도권 반반은 가줘야지 오늘 라인전 주도권이든 DPS든 클러치플레이든 너무 안좋긴했어
149,이럴때만 클린팬문화 존나 역겹다ㅋㅋㅋㅋㅋ
150,리딸하러 왔어요
151,졌어야 맞음 가장 중요한 미드가 저모양인데 이긴다는 건 롤이 잘못된거임
152,이렇게 못하는 페이커는 진짜 처음보긴한다...
153,5대4인 경기도 5꽉인데 5대5인 젠지전은 젠지가 쉽게 이기겟넼
154,젠지는 아쉽겠네...  T1 올라가면 꽁승이었는데 ㅠㅠ
155,애썼다...
156,오너는 진짜 바꿔야함 내년에 카나비 캐니언 풀리니까 둘중하나 무조건 질러야한다 오너 데리고 작년롤드컵 우승한건 기적이다
157,페이커 이제 그만보고싶다
158,티원그래도 고생햇다. 너무 선수 까지마세요.
159,제오구케는 이렇게 썩을 인재들이아닌데 ㅋㅋㅋ 얘네들 4명이서 고작 롤드컵 한개든게 말이됨? 20담원 그이상 애들인데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
160,나이트도 잘한건 아니지만 페이커가 너무 폼이 안좋다
161,진짜 너무 아쉽다..세주 풀려 있는데 꼭 비에고 골랐어야 되나. 고생했다 그래도!! 이렇게 된거 BLG 우승까지 해라 제발. 꼭 좀 부탁한다 BLG 화이팅!!
162,지면 뒤진다 (아직 보기전)
163,1세트 왜진건지 납득좀 시켜주실분
164,1세트 트타가 초반 2킬몰아먹음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
165,전라도 오너 구마유시는 잘못없고  케리아 페이커 제우스 잘못이랑께요
166,저 트리스타나랑 내 트리스타나랑 차이가 뭐임? 나도 저기 대회나가서 딜량 0할 자신 있음
167,msi 중국이 먹겟는 젠지는 못먹어..
168,이럴꺼면 지투한테 대주지 뭐하로 중국한테 시드권 바쳐서 우리 lck만 힘들게 함?  시드권 대줘 경험치통 쌓아줘 하이디라오 홍보대사 아니랄까봐 따이후앙슼!!!
169,3세트는 그냥 벤픽으로 넘어갔네
170,T1 팬들 낙심하지 말길 - 줄건 줘 올 해도 월즈 먹으면 되니까 ㅌㅇㅎㅇㅌ
171,여전히 눈 썩는 경기력이였다. 미드.
172,쵸비교로써 이전젠지에서 교체하고싶던 선수가 도란 제우스  피넛 오너 딜라이트 케리아였거든 근데 기인 캐니언으로 전성기지나서 와서 조금아쉽긴 했지만 지금도 만족스러운 모습이고 이제 하나 남았다 딜라이트는 알아서 나가줬고 리헨즈 케리아  케리아 젠지로와라
173,옛날 페이커는 후픽때 그냥 미드 리븐 미드 마이 이런거 박아버리면서 캐리했었는데 오늘 막픽 미드 자크는 좀 그냥 서글프더라
174,T1은 lpl에 지지 않습니다 (msi 1승 7패)
175,젠지 폼이면 BLG 2번썰고도 남는다. 미드상성 페이커 << 나이트 < 쵸비 킹정하는 티원팬들은 개츄
176,또 블루5승 나온거 개오바 아니냐ㅋㅋㅋ 이거 못고치면 롤 결국 망할수밖에 없다 ㅋㅋ 몇년째 이런식인지ㅋㅋ
177,blg응원한 타팀팬이면 추천!
178,1세트는 트타가 딜 다해야하는조합인데 왜 자꾸 앞점프뛰어
179,24 msi faker >> 그냥 희대의 쌍욕
180,진짜 페이커가 실망스러운 적이 없었는데....
181,BLG 화이팅 젠지도 꺽어주세요!
182,역시.. ^미드차이커^
183,워워 그 커뮤니티로 들어가슈
184,신났네들ㅋㅋㅋㅋ
185,페이커는 다른 전략을 짜야한다 성향이나 공격스타일적은 플레이가 눈부셨지만 페이커가 근래 잘한경기는 이니시를 잘건거라 생각된다 케릭의 풀을 늘리되 딜적인 케릭보다 이니시를 거는 케릭이야 한다 계속 딜케릭을 고집하면 계속 2등이다. 이니쉬를 해줘야 이긴다  바텀이 정말 많이 끌고간다 바텀이 평균을 때리고 시합하다 탑.정글이  딜을 가주고 미드 페이커는 이제 이니시케릭을 해라 제발
186,저점인건 맞지만 왜 이렇게 무지성으로 까는사람들이 많을까 익명이라고 악플다는 놈들 이해가 안간다 진짜 니들이나 잘해라 너네가 함부로 그렇게 말할사람이아니다
187,상혁아. 아쉬웠다. 써머에는 잘해보자.
188,티원 수고했어요! 악플 다는 엠생들은 살자 하고
189,1등
190,1승따냇다고 바로 야스오 니달리 자크픽은.. 진짜 대가리박아야할수준임.. 도데체 누가 이딴 벤픽을 만드는거냐 ㅋㅋ 니달리 하나만 나와도 용서할까말까인데 자크 야스오는 꽁승 주겟다는 수준이지.. 수많은 픽중에 어떻게 그딴조합을 생각했는지 신기할지경임.. 니달리는 전형적으로  한수위의 강팀이 골라서 상대를 찍어누르는 양학용이지.. 솔직히 비슷한수준 팀끼리는 오만픽임 거기에 야스오 자크는 진짜..할말없게만들수준 미드를 잠그고 깜짝 픽 하고 싶었으면 빅토르나 리산드라 갈리오 룰루 카르마 정도의 안정픽도있고 탑도 야스오가 모냐.. 트페를 벤하고 딴걸하던가.. 수많은 칼중에 야스오라니 차라리 요네라도 하지.. 진짜 야스오 니달리 자크 3인방은 미움받을 용기수준이아니라 어떻게든 지고싶어서 안달난 수준의 픽이였다
191,조롱이 도를 넘어서네...
192,오너 옷도 대충입고 ㅈㄴ 거만한데 롤도 못하고 짜르고 구원 대리고 와라 케리아도 짜르고 2군 외국인선수 대려오셈 감독 뭐하냐 오너랑 캐리아 이제 롤이 싫은갑다 2군선수한테도 기회를 줘야지?
193,미드 뒤지게 쳐못하네
194,꼭 젠첩들이 입 열기 시작하면 젠지가 지던데..
195,니들도 알겠지만 T1은 아무리욕먹고 못하는 경기가 있어도 오뚜기야 ㅋㅋㅋ다시올라와
196,T1 너네도 수영해서 와라
197,인터뷰 영상보면 팬들 많던데 t1팬 없고 페이커팬만 있다 라는건 아무리 봐도 롤갤식 날조 분탕인데
198,차라리 이번에 못올라가서 월즈때 챔프 많이 깎아 왔으면 좋겧네
199,트리스타나 내 트리스타나 같노 ㅋㅋㅋㅋ 딜 ㅈㄴ 못하네
200,걍 티원 lck의 수치 아님????? 귀국 시키지마라 ㅋㅋ 헤엄처서 돌아와야지 ㅋㅋ
201,응 대상혁 아무리까봐 ~ 월즈 4회유승 커리어로 못까지 ^^ 키키
202,솔직히 오너가범인인데? 경기안본거야?
203,저게 국대라니... 어차피 면제라면서 양심이 개털이네 실력도 없이 국대자리 훔쳐가는 그는 역시 지 닉네임대로 노네
204,ㅈㄴ 못하네 T1 수영해서 쳐온나 ㅋㅋ
205,코치바뀌라  ! 잘해서 월챔한 애들 와서 개픽으로 망치네 진짜미쳐버린다 ㅁㄷ 자크 ? 탑 스오? 요네나 하던가 하...
206,10년이 넘게 한분야에서 최상위 자리에 위치한 사람을 폼 좀 안좋다고 조롱하는 수준들 보니 참 ㅋㅋㅋ
207,아니 이걸 T1을 비난하고 있네 ㅋㅋ 저 경기 그대로 내일 나왔다고 생각해봐라 T1이 올라오길 응원했어야지 ㅋㅋ 보고도 못느끼나 BLG가 이기기 훨씬 까다로움 T1이 이기는순간 젠지가 우승확정인데 아.. 진짜 오늘만큼 T1을 응원한적이 없는거 같다 진짜.. 에휴.. 고생했다.
208,이렇게까지 악플 써재끼는거 보니 후진국에 근접하다 ㄹㅇ
209,뭐꼬 중국섭 디도스 걸은기고ㅡㅡ 아따마 불공정해뿌노ㅋㅋ
210,악플다는인간들 99퍼센트가 ㅋㅋㅋ골실브아ㅋㅋ잼잇어.  참ㅋㅋㄱ
211,솔직히 페이커만 욕하기엔 못한놈들많음 특히 제우스 오너 케리아는 페이커 욕할 자격없다
212,이거만 기다린 사람이면 개추요
213,명수옹은 혼자서도 대기업이니까 누구 눈치도 안보고 예전부터 입바른 소리 안하고 솔직해서 짱 좋음 개큰호감
214,너희를 응원하는 사람이 많다는걸 알아줬음 좋겠다
215,지혜혜인해린하니️민지 응원하고 사랑한다면 개추️
216,지금 이시점에서 박명수님이 본채널에 뉴진스 출연하게 하는건 정말 의미가 크다고 생각합니다. 박명수님 의리넘치는 모습 국민엠씨로서 손색이 없고 뉴진스 애기들은 더 앞으로 훨훨 날기를 바랍니다.
217,명수옹이 민지 생일 챙겨준 거 진짜 좋다 민지 진심으로 감동받았나봐 🥹
218,연예인 어른의 무심한듯한 케이크 선물에 찐 감동한듯 ㅠㅠ
219,박명수 ㅈㄴ 호감이다. 하이브 가수들 아무도 뉴진스랑 챌린지 안찍던데 예능도 뉴진스 출연 다 피하는 느낌이였는데. 여기 출연하게 했다는 것 만으로 ㅅㅂ 존나 호감이다 사랑해요
220,아이구.... 보니까 사건 터지고 촬영한거네  힘들텐데 티안내고 촬영한 애들 대견하고 애들 잘챙겨주신 할명수님도 감사합니다
221,중간 중간 들리는 스태프 분들 목소리도 다정하고 멤버들한테 깔리는 작은 자막들도 넘 따뜻해서 좋음
222,타팬인데 뉴진스 분들 너무너무 호감임 ㅠㅠ 선하고 순수한게 보여
223,ㅋㅋㅋ 다니엘은 명수옹이 너무 좋은가봐 ㅋㅋㅋㅋ 고개가 계속 명수옹 방향으로 돌아가서 눈 마주치면서 내내 얘기를 함.. 너무 순수하고 귀여워..
